Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time
15/10/2016 01:19:25;1;N;M;Escola Politécnica (Poli);Engenharia Mecatrônica;3º ano;0;Negócios;Sim;1, 98;1
15/10/2016 02:00:45;28;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática Aplicada e Computacional;2º ano;0;Desenvolvedor;Sim;;0
16/10/2016 22:55:31;78;S;F;Faculdade de Arquitetura e Urbanismo (FAU);Design;4º ano;1;Designer;Não;;0
17/10/2016 10:05:29;84;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Sim;21, 82, 84, 100;6
17/10/2016 17:59:15;6;N;M;Escola Politécnica (Poli);Engenharia da Computação;1º ano;0;Desenvolvedor;Não;;0
17/10/2016 18:17:51;3;N;M;Escola Politécnica (Poli);Pós-graduação em Big Data;Pós-graduação;1;Desenvolvedor;Não;;0
17/10/2016 18:31:54;100;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;6º ano ou mais;0;Desenvolvedor;Sim;21, 82, 84, 100;6
17/10/2016 19:41:50;22;N;M;Escola Politécnica (Poli);Engenharia da Computação;2º ano;0;Negócios;Não;;0
17/10/2016 19:43:33;99;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática Aplicada e Computacional;1º ano;0;Negócios;Não;69, 99;12
17/10/2016 20:47:44;37;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Estatística;1º ano;0;Negócios;Não;7, 16, 18, 37;13
17/10/2016 21:10:57;7;S;F;Instituto de Matemática e Estatística (IME);Bacharelado em Estatística;1º ano;0;Desenvolvedor;Sim;7, 16, 18, 37;13
17/10/2016 23:33:49;69;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática Aplicada e Computacional;1º ano;0;Desenvolvedor;Sim;69, 99;12
