Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time
16/05/2018 18:55:59;82;S;M;Escola Politécnica (Poli);Engenharia Elétrica;4° ano;1;Desenvolvedor;Sim;30, 74, 82, 317;46
16/05/2018 18:56:19;317;S;M;Escola Politécnica (Poli);Curso de Ciências Moleculares;3° ano;2;Cientista de Dados;Sim;30, 74, 82, 317;46
16/05/2018 18:56:38;30;S;M;Instituto de Física (IF);Pós-graduação em Física;Pós-graduação;1;Cientista de Dados;Sim;30, 74, 82, 317;46
16/05/2018 18:56:39;117;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;0;Desenvolvedor;Sim;117, 126, 176, 288;9
16/05/2018 18:56:41;41;S;F;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;0;Desenvolvedor;Sim;41, 225, 297;56
16/05/2018 18:58:14;88;S;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;0;Designer;Sim;88, 179, 252, 262;75
16/05/2018 18:58:44;297;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;2;Desenvolvedor;Sim;41, 225, 283, 297;56
16/05/2018 19:00:43;346;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;0;Desenvolvedor;Não;;0
16/05/2018 19:00:53;225;S;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;2;Desenvolvedor;Sim;41, 225, 283, 297;56
16/05/2018 19:01:54;327;S;M;Escola Politécnica (Poli);Pós-graduação em Engenharia da Computação;Pós-graduação;0;Desenvolvedor;Sim;306, 327, 350;47
16/05/2018 19:01:56;9;S;F;Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH);Linguística;5° ano ou mais;0;Desenvolvedor;Sim;1, 9, 20, 221;1
16/05/2018 19:02:20;275;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;214, 275, 304;35
16/05/2018 19:02:56;262;S;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;0;Negócios;Sim;88, 179, 252, 262;75
16/05/2018 19:02:57;89;N;M;Escola Politécnica (Poli);Engenharia da Computação;3° ano;1;Desenvolvedor;Sim;89, 96 217;76
16/05/2018 19:03:20;12;S;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;0;Desenvolvedor;Sim;12, 75, 228, 245;12
16/05/2018 19:03:20;229;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Não;;0
16/05/2018 19:03:28;4;S;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Negócios;Não;;0
16/05/2018 19:03:36;22;S;F;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;0;Desenvolvedor;Sim;22, 99, 318;36
16/05/2018 19:03:36;179;S;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;1;Desenvolvedor;Sim;88, 179, 252, 262;75
16/05/2018 19:03:48;51;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Estatística;3° ano;0;Cientista de Dados;Sim;51, 149, 76;63
16/05/2018 19:03:49;61;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;0;Desenvolvedor;Não;61, 108, 331;68
16/05/2018 19:03:52;114;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática Aplicada e Computacional;4° ano;1;Desenvolvedor;Sim;114, 192, 310, 349;7
16/05/2018 19:03:58;222;S;M;Escola de Comunicações e Artes (ECA);Publicidade e Propaganda;1° ano;0;Designer;Não;;0
16/05/2018 19:04:00;176;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;0;Desenvolvedor;Sim;117, 126, 176, 288;9
16/05/2018 19:05:00;76;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Estatística;2° ano;0;Cientista de Dados;Sim;51, 149, 76;63
16/05/2018 19:05:10;357;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Sim;64, 131, 357, 358;70
16/05/2018 19:05:17;220;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;2;Cientista de Dados;Não;;0
16/05/2018 19:05:18;258;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor;Não;;0
16/05/2018 19:05:23;217;N;M;Escola Politécnica (Poli);Engenharia da Computação;3° ano;0;Cientista de Dados;Sim;89, 96 217;76
16/05/2018 19:05:35;257;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;1;Desenvolvedor;Sim;155, 257, 314, 329;22
16/05/2018 19:05:43;270;S;M;Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH);Ciências Sociais;4° ano;0;Cientista de Dados;Sim;10, 270, 299, 323;2
16/05/2018 19:05:47;245;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;0;Desenvolvedor;Sim;12, 75, 228, 245;12
16/05/2018 19:06:25;244;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4° ano;2;Desenvolvedor;Não;;0
16/05/2018 19:06:29;64;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;64, 131, 357, 358;70
16/05/2018 19:06:33;149;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Estatística;2° ano;2;Cientista de Dados;Sim;51, 149, 76;63
16/05/2018 19:06:58;161;S;M;Instituto de Matemática e Estatística (IME);Curso de Ciências Moleculares;3° ano;0;Cientista de Dados;Sim;50, 109, 161, 334;62
16/05/2018 19:07:36;20;S;F;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;1;Designer;Sim;1, 9, 20, 221;1
16/05/2018 19:08:22;13;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;2;Desenvolvedor;Não;;0
16/05/2018 19:08:27;152;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor;Não;;0
16/05/2018 19:08:32;99;S;M;Faculdade de Economia, Administração e Contabilidade (FEA);Ciências Econômicas;4° ano;0;Negócios;Sim;22, 99, 318;36
16/05/2018 19:08:36;126;S;M;Escola Politécnica (Poli);Engenharia Elétrica;1° ano;0;Desenvolvedor;Sim;117, 126, 176, 288;9
16/05/2018 19:08:47;204;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Cientista de Dados;Sim;3, 33, 191, 204;45
16/05/2018 19:09:38;310;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Estatística;3° ano;1;Cientista de Dados;Sim;114, 192, 310, 349;7
16/05/2018 19:09:43;240;N;M;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;1;Desenvolvedor;Sim;23, 240, 307, 320;38
16/05/2018 19:10:57;28;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;0;Desenvolvedor;Sim;26, 28;43
16/05/2018 19:11:18;10;S;F;Instituto de Matemática e Estatística (IME);Bacharelado em Estatística;5° ano ou mais;0;Cientista de Dados;Sim;10, 270, 299, 323;2
16/05/2018 19:11:34;304;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;1;Desenvolvedor;Sim;214, 275, 304;35
16/05/2018 19:11:36;214;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;0;Desenvolvedor;Sim;214, 275, 304;35
16/05/2018 19:12:54;75;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;1;Negócios;Sim;12, 75, 228, 245;12
16/05/2018 19:13:04;349;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática Aplicada e Computacional;4° ano;0;Cientista de Dados;Sim;114, 192, 310, 349;7
16/05/2018 19:13:16;33;S;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Sim;3, 33, 191, 204;45
16/05/2018 19:14:09;288;S;M;Escola Politécnica (Poli);Engenharia Mecatrônica ;2° ano;0;Cientista de Dados;Sim;117, 126, 176, 288;9
16/05/2018 19:15:24;192;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática Aplicada e Computacional;4° ano;0;Cientista de Dados;Sim;114, 192, 310, 349;7
16/05/2018 19:16:57;251;N;M;Escola Politécnica (Poli);Engenharia Mecatrônica ;1° ano;0;Desenvolvedor;Sim;158, 251;23
16/05/2018 19:17:37;249;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4° ano;1;Desenvolvedor;Sim;227, 249, 261, 312;37
16/05/2018 19:17:53;261;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4° ano;1;Desenvolvedor;Sim;227, 249, 261, 312;37
16/05/2018 19:18:16;216;N;M;Escola Politécnica (Poli);Engenharia da Computação;3° ano;1;Cientista de Dados;Não;111, 216, 284;6
16/05/2018 19:18:29;23;N;M;Escola Politécnica (Poli);Engenharia da Computação;2° ano;1;Desenvolvedor;Sim;23, 240, 307, 320;38
16/05/2018 19:18:30;320;N;F;Escola Politécnica (Poli);Engenharia da Computação;2° ano;1;Desenvolvedor;Sim;23, 240, 307, 320;38
16/05/2018 19:19:27;227;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4° ano;1;Desenvolvedor;Sim;227, 249, 261, 312;37
16/05/2018 19:19:29;314;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;3° ano;0;Desenvolvedor;Sim;155, 257, 314, 329;22
16/05/2018 19:20:12;46;S;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Não;;0
16/05/2018 19:20:22;158;N;M;Escola Politécnica (Poli);Engenharia Mecatrônica ;2° ano;0;Desenvolvedor;Sim;158, 251;23
16/05/2018 19:20:30;358;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;64, 131, 357, 358;70
16/05/2018 19:22:55;329;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;0;Desenvolvedor;Sim;155, 257, 314, 329;22
16/05/2018 19:23:32;337;N;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;1;Desenvolvedor;Não;;0
16/05/2018 19:24:08;221;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;0;Desenvolvedor;Sim;1, 9, 20, 221;1
16/05/2018 19:26:30;334;S;M;Instituto de Física (IF);Curso de Ciências Moleculares;3° ano;0;Cientista de Dados;Sim;50, 109, 161, 334;62
16/05/2018 19:28:06;326;S;F;Escola de Comunicações e Artes (ECA);Publicidade e Propaganda;5° ano ou mais;0;Designer;Não;;0
16/05/2018 19:28:25;50;S;M;Escola Politécnica (Poli);Curso de Ciências Moleculares;3° ano;0;Cientista de Dados;Sim;50, 109, 161, 334;62
16/05/2018 19:30:14;70;N;M;Instituto de Ciências Biomédicas (ICB);Ciencias Biomédicas ;2° ano;0;Nenhuma;Não;;0
16/05/2018 19:30:42;124;S;F;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática Aplicada e Computacional;3° ano;0;Desenvolvedor;Não;;0
16/05/2018 19:31:10;85;N;M;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;0;Cientista de Dados;Não;;0
16/05/2018 19:31:11;202;N;M;Faculdade de Economia, Administração e Contabilidade (FEA);Administração;3° ano;0;Negócios;Não;;0
16/05/2018 19:31:59;223;N;M;Escola Politécnica (Poli);Engenharia Mecatrônica ;2° ano;0;Cientista de Dados;Não;;0
16/05/2018 19:32:41;96;N;M;Escola Politécnica (Poli);Engenharia da Computação;3° ano;0;Desenvolvedor;Sim;89, 96 217;76
16/05/2018 19:32:54;164;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;4° ano;2;Desenvolvedor;Sim;62, 164, 272, 236;69
16/05/2018 19:34:18;236;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;4° ano;0;Desenvolvedor;Sim;62, 164, 236, 272;69
16/05/2018 19:35:26;325;N;F;Faculdade de Ciências Farmacêuticas (FCF);Farmácia-Bioquímica;5° ano ou mais;0;Negócios;Não;;0
16/05/2018 19:37:11;284;N;M;Escola Politécnica (Poli);Engenharia Mecatrônica ;2° ano;2;Desenvolvedor;Sim;111, 216, 284;6
16/05/2018 19:37:50;72;S;F;Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH);Letras;5° ano ou mais;0;Desenvolvedor;Sim;25, 72, 78, 132;41
16/05/2018 19:38:25;113;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Não;;0
16/05/2018 19:39:41;268;N;F;Escola Politécnica (Poli);Engenharia da Computação;4° ano;2;Desenvolvedor;Sim;52, 56, 254, 268;64
16/05/2018 19:41:54;111;N;M;Escola Politécnica (Poli);Engenharia Mecatrônica ;3° ano;0;Cientista de Dados;Sim;111, 216, 284;6
16/05/2018 19:42:10;148;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Sim;148, 173, 184;18
16/05/2018 19:42:59;312;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4° ano;1;Cientista de Dados;Sim;227, 249, 261, 312;37
16/05/2018 19:43:17;281;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;2;Desenvolvedor;Sim;45, 54, 281, 296;59
16/05/2018 19:43:20;97;N;M;Instituto de Física (IF);Bacharelado em Física;4° ano;1;Desenvolvedor;Sim;84, 97;73
16/05/2018 19:44:13;143;N;F;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;0;Desenvolvedor;Sim;37, 87, 143, 289;52
16/05/2018 19:44:28;60;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5° ano ou mais;1;Cientista de Dados;Sim;60, 178, 248, 338;67
16/05/2018 19:44:57;318;S;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;2;Cientista de Dados;Sim;22, 99, 318;36
16/05/2018 19:46:34;44;N;F;Escola de Engenharia de São Carlos (EESC);Engenharia da Computação;2° ano;2;Desenvolvedor;Não;;0
16/05/2018 19:46:58;106;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;106, 364, 311, 347;5
16/05/2018 19:47:17;79;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor;Não;;0
16/05/2018 19:47:29;173;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;148, 173, 184;18
16/05/2018 19:48:25;62;N;M;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;0;Designer;Sim;62, 164, 272, 236;69
16/05/2018 19:48:43;184;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Sim;148, 173, 184;18
16/05/2018 19:51:07;87;N;M;Escola Politécnica (Poli);Engenharia Elétrica;4° ano;2;Cientista de Dados;Sim;;0
16/05/2018 19:53:57;167;N;F;Faculdade de Economia, Administração e Contabilidade (FEA);Administração ;2° ano;0;Negócios;Sim;167, 207;25
16/05/2018 19:55:09;264;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Cientista de Dados;Sim;;0
16/05/2018 19:56:16;207;N;F;Faculdade de Economia, Administração e Contabilidade (FEA);Administração;2° ano;0;Negócios;Sim;167, 207;25
16/05/2018 19:58:34;133;N;M;Escola Politécnica (Poli);Engenharia da Computação;2° ano;0;Desenvolvedor;Sim;35, 133, 303, 356;50
16/05/2018 20:07:55;159;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Negócios;Não;;0
16/05/2018 20:09:43;295;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Não;;0
16/05/2018 20:10:04;218;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Não;;0
16/05/2018 20:10:05;27;N;M;Instituto de Física (IF);Bacharelado em Física;2° ano;1;Cientista de Dados;Não;;0
16/05/2018 20:11:20;108;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;0;Cientista de Dados;Não;61, 108, 331;68
16/05/2018 20:12:52;183;N;F;Escola de Artes, Ciências e Humanidades (EACH);Marketing;4° ano;0;Negócios;Sim;;0
16/05/2018 20:13:42;1;S;M;Escola Politécnica (Poli);Engenharia Mecatrônica ;5° ano ou mais;5;Cientista de Dados;Sim;1, 9, 20, 221;1
16/05/2018 20:15:00;73;N;F;Instituto de Astronomia, Geofísica e Ciências Atmosféricas (IAG);Geofísica;5° ano ou mais;0;Negócios;Não;;0
16/05/2018 20:17:27;254;N;M;Escola Politécnica (Poli);Engenharia da Computação;4° ano;0;Desenvolvedor;Sim;52, 56, 254, 268;64
16/05/2018 20:17:33;52;N;M;Escola Politécnica (Poli);Engenharia da Computação;4° ano;1;Desenvolvedor;Sim;52, 56, 254, 268;64
16/05/2018 20:21:25;34;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Não;;0
16/05/2018 20:22:14;56;N;M;Escola Politécnica (Poli);Engenharia da Computação;4° ano;2;Cientista de Dados;Sim;52, 56, 254, 268;64
16/05/2018 20:22:54;123;N;F;Escola Politécnica (Poli);Engenharia Ambiental;2° ano;0;Desenvolvedor;Sim;123, 194, 231;13
16/05/2018 20:25:52;272;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;4° ano;0;Desenvolvedor;Sim;62, 164, 236, 272;69
16/05/2018 20:28:30;188;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;0;Desenvolvedor;Sim;188, 214, 304, 365;29
16/05/2018 20:30:53;170;N;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5° ano ou mais;1;Desenvolvedor;Não;;0
16/05/2018 20:33:03;144;N;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;2° ano;0;Cientista de Dados;Sim;260, 277, 160, 141, 352, 144, 90;44
16/05/2018 20:34:56;37;N;F;Escola Politécnica (Poli);Engenharia Elétrica;4° ano;0;Desenvolvedor;Sim;37, 87, 289, 143;52
16/05/2018 20:36:48;101;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;3° ano;1;Negócios;Sim;101, 315, 322, 362;3
16/05/2018 20:38:40;279;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Matemática Pura;2° ano;0;Designer;Não;;0
16/05/2018 20:42:16;293;N;M;Instituto de Matemática e Estatística (IME);;5° ano ou mais;0;Desenvolvedor;Não;;0
16/05/2018 20:44:01;315;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor;Sim;101, 315, 322, 362;3
16/05/2018 20:44:49;147;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor;Não;147, 211;17
16/05/2018 20:46:41;194;N;F;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;1;Cientista de Dados;Sim;123, 194, 231;13
16/05/2018 20:46:52;289;N;F;Escola Politécnica (Poli);Engenharia Elétrica;4° ano;0;Negócios;Sim;37, 87, 289, 143;52
16/05/2018 20:55:13;135;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;5, 165, 300, 135;61
16/05/2018 20:55:23;210;N;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Sistemas de Informação;2° ano;1;Desenvolvedor;Não;;0
16/05/2018 20:55:32;321;N;M;Instituto de Física (IF);Pós-graduação em Tecnologia Nuclear ;Pós-graduação;0;Desenvolvedor;Não;;0
16/05/2018 20:55:48;322;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Designer;Sim;101, 315, 322, 362;3
16/05/2018 20:57:03;140;N;F;Escola Politécnica (Poli);Engenharia da Computação;2° ano;0;Desenvolvedor;Não;;0
16/05/2018 20:58:29;303;N;M;Escola Politécnica (Poli);Engenharia da Computação;2° ano;0;Cientista de Dados;Sim;35, 133, 303, 356;50
16/05/2018 21:02:17;112;N;M;Escola Politécnica (Poli);Engenharia da Computação;2° ano;0;Desenvolvedor;Sim;15, 112, 199, 287;19
16/05/2018 21:09:02;35;N;F;Escola Politécnica (Poli);Engenharia de Produção;2° ano;0;Designer;Sim;35, 133, 303, 356;50
16/05/2018 21:12:18;57;N;M;Escola Politécnica (Poli);Doutorado em Engenharia da Computação;Doutorado;0;Cientista de Dados;Não;;0
16/05/2018 21:13:54;212;N;M;Escola de Artes, Ciências e Humanidades (EACH);Marketing;1° ano;0;Negócios;Sim;147, 211;17
16/05/2018 21:15:25;311;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;106, 364, 311, 347;5
16/05/2018 21:21:02;40;S;F;Instituto de Matemática e Estatística (IME);Bacharelado em Estatística;3° ano;1;Cientista de Dados;Sim;40, 238;55
16/05/2018 21:24:03;362;N;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor;Sim;101, 315, 322, 362;3
16/05/2018 21:25:13;31;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;2;Desenvolvedor;Sim;31, 48, 95, 280;48
16/05/2018 21:28:17;165;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;1;Desenvolvedor;Sim;5, 165, 300, 135;61
16/05/2018 21:30:15;105;N;M;Escola de Artes, Ciências e Humanidades (EACH);Educação Física e Saúde;5° ano ou mais;0;Designer;Não;;0
16/05/2018 21:31:21;234;N;M;Faculdade de Economia, Administração e Contabilidade (FEA);Administração;2° ano;0;Negócios;Não;;0
16/05/2018 21:32:36;5;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Sim;5, 165, 300, 135;61
16/05/2018 21:37:10;347;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;106, 364, 311, 347;5
16/05/2018 21:40:52;287;N;M;Escola Politécnica (Poli);Engenharia Química;2° ano;0;Designer;Sim;15, 112, 199, 287;19
16/05/2018 21:43:20;49;N;M;Faculdade de Direito (FD);Direito;1° ano;0;Negócios;Não;;0
16/05/2018 21:44:51;67;N;M;Instituto de Matemática e Estatística (IME);Pós-graduação em Ciência da Computação;Pós-graduação;0;Cientista de Dados;Não;;0
16/05/2018 21:46:51;263;N;F;Faculdade de Arquitetura e Urbanismo (FAU);Design;3° ano;0;Designer;Não;;0
16/05/2018 21:47:22;335;N;M;Faculdade de Odontologia (FO);Pós-graduação em Ciências Odontológicas;Pós-graduação;0;Pesquisador;Não;;0
16/05/2018 21:47:24;15;N;M;Escola Politécnica (Poli);Engenharia Química;5° ano ou mais;0;Desenvolvedor;Sim;15, 112, 199, 287;19
16/05/2018 21:52:17;3;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Estatística ;4° ano;0;Cientista de Dados;Sim;3, 33, 191, 204;45
16/05/2018 21:58:03;199;N;M;Escola Politécnica (Poli);Engenharia Química ;4° ano;0;Negócios;Sim;15, 112, 199, 287;19
16/05/2018 21:59:04;16;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Negócios;Sim;16, 17, 98;24
16/05/2018 22:05:53;300;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Sim;5, 165, 300, 135;61
16/05/2018 22:11:21;237;N;M;Faculdade de Ciências Farmacêuticas (FCF);Farmácia-Bioquímica;1° ano;0;Designer;Sim;;0
16/05/2018 22:20:48;189;N;F;Faculdade de Arquitetura e Urbanismo (FAU);Design;4° ano;0;Designer;Não;;0
16/05/2018 22:22:25;174;N;M;Escola Politécnica (Poli);Engenharia Mecatrônica ;5° ano ou mais;1;Cientista de Dados;Sim;18, 185, 174, 324;28
16/05/2018 22:24:40;18;N;M;Escola Politécnica (Poli);Engenharia Mecatrônica ;5° ano ou mais;0;Negócios;Sim;18, 185, 174, 324;28
