Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time
16/05/2018 16:06:10;296;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;2;Desenvolvedor;Sim;45, 54, 281, 296;59
16/05/2018 18:47:09;290;S;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;4° ano;0;Cientista de Dados;Sim;290, 208;33
16/05/2018 18:47:13;338;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4° ano;2;Cientista de Dados;Sim;60, 178, 248, 338;67
16/05/2018 18:48:34;208;S;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;4° ano;0;Desenvolvedor;Não;208, 290;33
16/05/2018 18:48:51;252;S;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;1;Cientista de Dados;Sim;88, 179, 252, 262;75
16/05/2018 18:49:15;78;S;F;Escola Politécnica (Poli);Engenharia Elétrica;4° ano;1;Cientista de Dados;Sim;25, 72, 78, 132;41
16/05/2018 18:51:37;198;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4° ano;2;Desenvolvedor;Sim;60, 178, 198, 338;67
16/05/2018 18:52:32;132;S;M;Escola Politécnica (Poli);Engenharia da Computação;5° ano ou mais;2;Cientista de Dados;Sim;25, 72, 78, 132;41
16/05/2018 18:53:27;364;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Sim;106, 364, 311, 347;5
16/05/2018 18:53:30;248;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5° ano ou mais;0;Desenvolvedor;Sim;60, 178, 248, 338;67
16/05/2018 18:53:39;25;S;M;Escola Politécnica (Poli);Engenharia Mecatrônica ;2° ano;2;Negócios;Sim;25, 72, 78, 132;41
16/05/2018 18:54:01;155;N;M;Instituto de Física (IF);Bacharelado em Física;2° ano;0;Desenvolvedor;Sim;155, 257, 314, 329;22
16/05/2018 18:55:12;74;S;F;Escola Politécnica (Poli);Engenharia Elétrica;4° ano;2;Designer;Sim;30, 74, 82, 317;46
16/05/2018 18:55:32;283;S;M;Escola Politécnica (Poli);Engenharia da Computação;3° ano;1;Cientista de Dados;Sim;41, 225, 283, 297;56
