Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time;Em que universidade você estuda (ou estudou)?
09/08/2016 19:55:46;46;S;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;46, 56, 309, 483;54;
09/08/2016 20:24:09;309;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Nenhuma;Não;46, 56, 309, 483;54;
09/08/2016 22:57:08;56;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;46, 56, 309, 483;54;
18/08/2016 22:49:37;47;S;F;Não USP;;;0;Desenvolvedor;Não;;0;Fatec
19/08/2016 21:47:33;35;S;M;Não USP;;;0;Desenvolvedor;Não;;0;Uninove
23/08/2016 09:44:28;483;S;M;Instituto de Matemática e Estatística (IME);Matemática Aplicada;1º ano;0;Desenvolvedor;Sim;46, 56, 309, 483;54;
24/07/2016 20:53:04;227;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Desenvolvedor;Sim;227, 303, 339, 402;31;
24/07/2016 21:01:17;342;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;5;Desenvolvedor;Sim;332, 342, 511, 513;47;
24/07/2016 21:01:24;438;S;M;Escola Politécnica (Poli);Engenharia da Computação;5º ano ou mais;0;Desenvolvedor;Não;;0;
24/07/2016 21:01:25;513;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;1;Desenvolvedor;Sim;332, 342, 511, 513;47;
24/07/2016 21:01:33;197;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;0;Desenvolvedor;Sim;112, 197,341, 364;7;
24/07/2016 21:01:55;93;S;M;Escola Politécnica (Poli);Engenharia da Computação;5º ano ou mais;0;Desenvolvedor;Não;;0;
24/07/2016 21:01:57;206;S;M;Não USP;;;1;Desenvolvedor;Não;;0;Fatec
24/07/2016 21:02:00;333;S;M;Não USP;;;0;Desenvolvedor;Não;;0;Fatec
24/07/2016 21:02:07;92;S;F;Não USP;;;0;Empreendedor/Negócios;Não;;0;Uniban
24/07/2016 21:02:17;341;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;2;Desenvolvedor;Sim;112, 197,341, 364;7;
24/07/2016 21:02:41;511;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Desenvolvedor;Não;332, 342, 511, 513;47;
24/07/2016 21:02:44;232;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;4º ano;0;Desenvolvedor;Sim;171, 183, 230, 232;22;
