Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time;Em que universidade você estuda (ou estudou)?
24/07/2016 21:02:47;329;S;M;Não USP;;;2;Desenvolvedor;Não;;0;Universidade de Brasilia
24/07/2016 21:02:48;77;S;M;Não USP;;;0;Desenvolvedor;Não;;0;IFPI
24/07/2016 21:02:53;507;S;F;Faculdade de Arquitetura e Urbanismo (FAU);Bacharelado em Design;5º ano ou mais;1;Desenvolvedor;Sim;159, 507;18;
24/07/2016 21:03:00;40;S;M;Escola Politécnica (Poli);Engenharia Elétrica;1º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:03:06;3;S;M;Escola Politécnica (Poli);Engenharia da Computação;5º ano ou mais;1;Desenvolvedor;Sim;1, 156, 269, 459;1;
24/07/2016 21:03:11;51;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;1;Desenvolvedor;Sim;51, 241, 519;56;
24/07/2016 21:03:16;416;S;M;Não USP;;;1;Desenvolvedor;Não;;0;Fatec
24/07/2016 21:03:18;250;S;F;Escola Politécnica (Poli);Engenharia Elétrica;1º ano;0;Desenvolvedor;Sim;18, 250, 313, 340;23;
24/07/2016 21:03:19;402;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;1;Desenvolvedor;Sim;227, 303, 339, 402;31;
24/07/2016 21:03:25;269;S;M;Escola Politécnica (Poli);Engenharia da Computação;5º ano ou mais;2;Desenvolvedor;Sim;1, 156, 269, 459;1;
24/07/2016 21:03:29;159;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;1;Desenvolvedor;Sim;159, 507;18;
24/07/2016 21:03:35;369;S;F;Escola Politécnica (Poli);Engenharia Civil;1º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:03:45;324;S;M;Faculdade de Economia, Administração e Contabilidade (FEA);Ciências Contábeis;2º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:03:47;170;S;M;Escola Politécnica (Poli);Engenharia da Computação;3º ano;1;Desenvolvedor;Não;170, 238, 384, 391;21;
24/07/2016 21:03:48;111;N;M;Não USP;;;0;Empreendedor/Negócios;Não;;0;ESPM
24/07/2016 21:03:49;171;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;4º ano;0;Desenvolvedor;Sim;171, 183, 230, 232;22;
24/07/2016 21:03:49;305;N;M;Não USP;;;0;Desenvolvedor;Não;;0;UFSCar
24/07/2016 21:03:50;25;S;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;;0;
24/07/2016 21:04:00;330;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:04:08;439;N;M;Não USP;;;0;Desenvolvedor;Não;;0;Universidade Presbiteriana Mackenzie
24/07/2016 21:04:10;355;S;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;;0;
24/07/2016 21:04:22;336;S;M;Escola Politécnica (Poli);Pós-graduação em Engenharia da Computação;Pós-graduação;5;Desenvolvedor;Não;;0;
24/07/2016 21:04:33;237;S;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2º ano;1;Empreendedor/Negócios;Sim;131, 237, 306;10;
24/07/2016 21:04:35;195;S;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;4º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:04:38;364;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;0;Desenvolvedor;Sim;112, 197,341, 364;7;
24/07/2016 21:04:42;7;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;;0;
24/07/2016 21:04:43;44;S;F;Escola de Artes, Ciências e Humanidades (EACH);Pós-graduação em Sistemas de Informação;Pós-graduação;0;Desenvolvedor;Não;;0;
24/07/2016 21:04:47;540;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;;0;
24/07/2016 21:04:50;372;S;F;Escola Politécnica (Poli);Engenharia Civil;1º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:04:53;251;S;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;1;Desenvolvedor;Não;244, 251, 503;35;
24/07/2016 21:04:54;96;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;5;Desenvolvedor;Não;;0;
24/07/2016 21:04:55;135;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;135, 498;11;
24/07/2016 21:04:56;281;N;M;Não USP;;;2;Desenvolvedor;Não;;0;UNICESUMAR
24/07/2016 21:04:57;536;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:05:14;84;S;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1º ano;2;Desenvolvedor;Não;;0;
24/07/2016 21:05:16;396;N;M;Não USP;;;0;Empreendedor/Negócios;Não;;0;Universidade Anhembi Morumbi
24/07/2016 21:05:17;234;N;M;Não USP;;;5;Desenvolvedor;Não;;0;UNICAMP
24/07/2016 21:05:18;194;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;1;Desenvolvedor;Não;;0;
24/07/2016 21:05:19;32;N;M;Não USP;;;0;Desenvolvedor;Não;;0;UNESP
24/07/2016 21:05:20;57;N;M;Não USP;;;0;Desenvolvedor;Não;;0;Universidade Nove de Julho
24/07/2016 21:05:25;303;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Desenvolvedor;Sim;227, 303, 339, 402;31;
24/07/2016 21:05:26;243;N;M;Faculdade de Economia, Administração e Contabilidade (FEA);Economia;1º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:05:28;246;N;M;Não USP;;;2;Desenvolvedor;Não;;0;UFF
24/07/2016 21:05:33;217;N;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:05:34;264;S;M;Escola de Engenharia de Lorena (EEL);Engenharia Física;3º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:05:38;99;N;F;Não USP;;;0;Desenvolvedor;Não;;0;UNICAMP
24/07/2016 21:05:39;453;S;F;Escola de Comunicações e Artes (ECA);Publicidade e Propaganda;5º ano ou mais;0;Designer;Não;;0;
24/07/2016 21:05:42;26;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;5º ano ou mais;2;Desenvolvedor;Sim;26, 48, 343, 422;37;
24/07/2016 21:05:46;52;S;F;Faculdade de Economia, Administração e Contabilidade (FEA);Economia;2º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:05:47;272;N;M;Escola de Engenharia de Lorena (EEL);Engenharia de Produção;2º ano;0;Engenharia;Sim;6, 272;58;
24/07/2016 21:05:56;408;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;2;Empreendedor/Negócios;Não;;0;
24/07/2016 21:05:59;304;N;M;Escola de Artes, Ciências e Humanidades (EACH);;3º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:06:01;301;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3º ano;0;Empreendedor/Negócios;Sim;130, 301;9;
24/07/2016 21:06:06;101;N;M;Não USP;;;0;Empreendedor/Negócios;Não;;0;FGV
24/07/2016 21:06:07;192;N;M;Escola Politécnica (Poli);Engenharia Elétrica;1º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:06:11;39;N;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Pós-graduação em Ciências de Computação e Matemática Computacional;Pós-graduação;1;Desenvolvedor;Não;;0;
24/07/2016 21:06:11;482;N;M;Escola Politécnica (Poli);Engenharia Química;2º ano;0;Designer;Não;;0;
24/07/2016 21:06:18;382;S;M;Escola Politécnica (Poli);Engenharia Mecatrônica;1º ano;0;Empreendedor/Negócios;Não;307, 382;45;
24/07/2016 21:06:18;541;N;M;Não USP;;;5;Empreendedor/Negócios;Não;;0;UFF
24/07/2016 21:06:21;161;N;M;Instituto de Física de São Carlos (IFSC);Física Computacional;Pós-graduação;0;Desenvolvedor;Não;;0;
24/07/2016 21:06:24;220;N;M;Escola de Artes, Ciências e Humanidades (EACH);Pós-graduação em Sistemas de Informação;Pós-graduação;0;Desenvolvedor;Não;;0;
24/07/2016 21:06:26;209;N;F;Não USP;;;0;Desenvolvedor;Não;;0;UFSCar 
24/07/2016 21:06:26;475;S;M;Não USP;;;0;Desenvolvedor;Não;;0;Fatec
24/07/2016 21:06:28;61;N;M;Não USP;;;1;Desenvolvedor;Não;;0;Universidade Presbiteriana Mackenzie
24/07/2016 21:06:33;241;S;M;Escola Politécnica (Poli);Engenharia Mecânica;1º ano;0;Desenvolvedor/Negócios;Sim;51, 241, 519;56;
24/07/2016 21:06:36;249;N;F;Não USP;;;0;Designer;Não;;0;Centro Universitario Senac
24/07/2016 21:06:39;112;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;1;Empreendedor/Negócios;Sim;112, 197,341, 364;7;
24/07/2016 21:06:40;428;N;M;Faculdade de Economia, Administração e Contabilidade (FEA);Pós-graduação em Economia ;Pós-graduação;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:06:48;6;N;M;Não USP;;;0;Desenvolvedor;Sim;6, 272;58;Universidade Presbiteriana Mackenzie
24/07/2016 21:06:54;133;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;5º ano ou mais;0;Desenvolvedor;Não;;0;
24/07/2016 21:06:58;332;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Desenvolvedor;Sim;332, 342, 511, 513;47;
24/07/2016 21:06:58;449;N;M;Não USP;;;0;Empreendedor/Negócios;Não;;0;ESPM
24/07/2016 21:07:03;417;N;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;4º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:07:03;456;N;M;Escola de Artes, Ciências e Humanidades (EACH);Gestão de Políticas Públicas;2º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:07:09;404;N;F;Não USP;;;0;Empreendedor/Negócios;Sim;59, 400, 404, 534;57;FGV
24/07/2016 21:07:17;292;N;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:07:31;125;N;M;Escola Politécnica (Poli);Engenharia Mecânica;Pós-graduação;1;Empreendedor/Negócios;Não;;0;
24/07/2016 21:07:32;16;N;F;Faculdade de Economia, Administração e Contabilidade (FEA);;4º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:07:32;420;N;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:07:36;23;N;M;Escola de Artes, Ciências e Humanidades (EACH);Pós-graduação em Marketing;Pós-graduação;0;Marketing;Não;;0;
24/07/2016 21:07:39;62;N;M;Escola Politécnica (Poli);Engenharia Civil;5º ano ou mais;1;Desenvolvedor;Não;;0;
24/07/2016 21:07:41;473;N;M;Não USP;;;0;Empreendedor/Negócios;Não;;0;Strong ESAGS
24/07/2016 21:07:42;21;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;1;Desenvolvedor;Sim;21, 215, 231, 393;25;
24/07/2016 21:07:42;154;N;M;Não USP;;;0;Desenvolvedor;Não;;0;UFABC
24/07/2016 21:07:43;479;N;M;Não USP;;;0;Desenvolvedor;Não;;0;PUC-Campinas
24/07/2016 21:07:45;221;N;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:07:59;148;N;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Estatística;1º ano;2;Desenvolvedor;Não;;0;
24/07/2016 21:08:07;103;N;M;Não USP;;;0;Desenvolvedor;Não;;0;UNICAMP
24/07/2016 21:08:08;461;N;M;Instituto de Matemática e Estatística (IME);Pós-graduação em Ciência da Computação;Pós-graduação;0;Desenvolvedor;Não;;0;
24/07/2016 21:08:09;117;N;M;Não USP;;;2;Desenvolvedor;Não;;0;Fatec
24/07/2016 21:08:16;10;N;F;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto (FEA-RP);Bacharelado em Administração;2º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:08:16;497;N;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;1;Desenvolvedor;Não;;0;
24/07/2016 21:08:27;284;S;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;3º ano;0;Desenvolvedor;Sim;212, 284, 387, 447;28;
24/07/2016 21:08:34;306;S;M;Não USP;;;0;Desenvolvedor;Sim;131, 237, 306;10;Universidade Anhembi Morumbi
24/07/2016 21:08:52;149;N;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Pós-graduação em Ciência da Computação;Pós-graduação;5;Desenvolvedor;Sim;149, 283;16;
24/07/2016 21:08:54;89;N;M;Não USP;;;0;Empreendedor/Negócios;Não;;0;IBMEC
24/07/2016 21:08:58;283;N;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Pós-graduação em Ciência da Computação;Pós-graduação;2;Desenvolvedor;Sim;149, 283;16;
24/07/2016 21:09:16;236;N;M;Não USP;;;1;Designer;Não;;0;PUC
24/07/2016 21:09:20;526;N;M;Não USP;;;0;Desenvolvedor;Não;;0;UNICAMP
24/07/2016 21:09:23;421;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:09:27;538;S;F;Não USP;;;0;Empreendedor/Negócios;Não;;0;Universidade Presbiteriana Mackenzie
24/07/2016 21:09:34;140;N;F;Não USP;;;0;Desenvolvedor;Não;;0;IFSP
24/07/2016 21:09:39;469;N;M;Faculdade de Economia, Administração e Contabilidade (FEA);Economia;2º ano;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:09:43;447;S;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;3º ano;0;Desenvolvedor;Sim;212, 284, 387, 447;28;
24/07/2016 21:09:48;282;S;F;Escola de Comunicações e Artes (ECA);Publicidade e Propaganda;4º ano;0;Comunicação/Publicidade;Não;36, 185, 282, 484;50;
24/07/2016 21:09:52;104;N;M;Escola Politécnica (Poli);Engenharia da Computação;4º ano;0;Desenvolvedor;Sim;104, 218, 317, 352;4;
24/07/2016 21:09:54;108;N;F;Não USP;;;2;Mentoria;Não;;0;Universidade Presbiteriana Mackenzie
24/07/2016 21:09:58;98;N;F;Não USP;;;2;Desenvolvedor;Não;;0;UNICAMP
24/07/2016 21:10:03;212;S;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;3º ano;0;Desenvolvedor;Sim;212, 284, 387, 447;28;
24/07/2016 21:10:05;68;N;M;Não USP;;;0;Desenvolvedor;Não;;0;FSA (Fundação Santo André)
24/07/2016 21:10:12;477;N;M;Não USP;;;0;Empreendedor/Negócios;Não;;0;FECAP
24/07/2016 21:10:24;391;N;M;Escola Politécnica (Poli);Engenharia da Computação;3º ano;0;Desenvolvedor;Não;170, 238, 384, 391;21;
24/07/2016 21:10:24;123;N;M;Não USP;;;5;Desenvolvedor;Não;;0;PUC
24/07/2016 21:10:25;314;S;F;Não USP;;;0;Designer;Não;;0;IED
24/07/2016 21:10:55;242;N;M;Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH);Filosofia;2º ano;0;Desenvolvedor;Sim;;0;
24/07/2016 21:10:57;134;N;M;Instituto de Física (IF);Física;2º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:10:59;152;N;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Pós-graduação em Ciência da Computação;Pós-graduação;0;Desenvolvedor;Sim;152, 193, 542;17;
24/07/2016 21:10:59;400;N;M;Instituto de Matemática e Estatística (IME);Curso de Ciências Moleculares;2º ano;0;Desenvolvedor;Sim;59, 400, 404, 534;57;
24/07/2016 21:11:06;459;S;M;Escola Politécnica (Poli);Engenharia Elétrica;5º ano ou mais;0;Desenvolvedor;Não;1, 156, 269, 459;1;
24/07/2016 21:11:12;193;N;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Pós-graduação em Ciência da Computação;Pós-graduação;0;Pesquisador;Sim;152, 193, 542;17;
24/07/2016 21:11:19;406;S;F;Faculdade de Arquitetura e Urbanismo (FAU);Bacharelado em Design;5º ano ou mais;2;Designer;Não;;0;
24/07/2016 21:11:48;121;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;5;Desenvolvedor;Não;;0;
24/07/2016 21:11:49;432;N;M;Escola Politécnica (Poli);Engenharia Naval;4º ano;1;Desenvolvedor;Sim;275, 432;40;
24/07/2016 21:12:20;259;N;M;Faculdade de Economia, Administração e Contabilidade (FEA);Pós-graduação em Administração;Pós-graduação;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:12:28;313;S;F;Escola Politécnica (Poli);Engenharia Elétrica;1º ano;0;Engenharia;Sim;18, 250, 313, 340;23;
24/07/2016 21:12:34;299;N;F;Não USP;;;0;Empreendedor/Negócios;Não;;0;ESPM
24/07/2016 21:12:39;418;S;M;Não USP;;;0;Desenvolvedor;Não;;0;Uninove
24/07/2016 21:12:41;384;N;M;Escola Politécnica (Poli);Engenharia da Computação;3º ano;0;Desenvolvedor;Sim;170, 238, 384, 391;21;
24/07/2016 21:13:09;184;N;M;Não USP;;;2;Desenvolvedor;Não;;0;PUC
24/07/2016 21:13:15;517;N;M;Escola Politécnica (Poli);Pós-graduação em Tecnologia e Gestão na Produção de Edificios;Pós-graduação;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:13:37;340;S;M;Escola Politécnica (Poli);Engenharia Elétrica;1º ano;0;Engenharia;Sim;18, 250, 313, 340;23;
24/07/2016 21:13:41;167;N;M;Escola Politécnica (Poli);Engenharia da Computação;5º ano ou mais;1;Cientista de Dados;Não;;0;
24/07/2016 21:13:47;245;N;M;Não USP;;;0;Desenvolvedor;Não;;0;Estácio de Sá
24/07/2016 21:13:48;465;N;M;Não USP;;;2;Desenvolvedor;Não;;0;UNICAMP
24/07/2016 21:14:10;460;N;M;Não USP;;;2;Empreendedor/Negócios;Não;;0;ESPM
24/07/2016 21:14:21;275;N;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;0;Desenvolvedor;Sim;275, 432;40;
24/07/2016 21:14:59;71;N;M;Não USP;;;1;Empreendedor/Negócios;Não;;0;
24/07/2016 21:15:09;30;N;M;Não USP;;;1;Desenvolvedor;Não;;0;UFSCar
24/07/2016 21:15:18;527;N;M;Não USP;;;0;Desenvolvedor;Não;;0;
24/07/2016 21:15:32;43;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:15:56;415;N;M;Não USP;;;0;Empreendedor/Negócios;Não;;0;Insper
24/07/2016 21:16:15;238;N;M;Escola Politécnica (Poli);Engenharia da Computação;3º ano;0;Desenvolvedor;Não;170, 238, 384, 391;21;
24/07/2016 21:16:15;393;N;M;Instituto de Matemática e Estatística (IME);Pós-graduação em Ciência da Computação;Pós-graduação;0;Desenvolvedor;Sim;21, 215, 231, 393;25;
24/07/2016 21:16:15;529;N;M;Escola Politécnica (Poli);Pós-graduação em Engenharia Mecatrônica;Pós-graduação;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:16:25;59;N;M;Curso de Ciências Moleculares (CCM);Curso de Ciências Moleculares;2º ano;0;Desenvolvedor;Sim;59, 400, 404, 534;57;
24/07/2016 21:16:26;363;N;M;Não USP;;;2;Empreendedor/Negócios;Não;;0;UFSCar
24/07/2016 21:16:33;335;S;F;Não USP;;;0;Designer;Não;;0;FAM
24/07/2016 21:16:56;254;N;M;Escola Politécnica (Poli);Engenharia Elétrica;3º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:16:56;294;N;F;Não USP;;;0;Desenvolvedor;Não;;0;IFSP
24/07/2016 21:17:01;141;N;F;Faculdade de Arquitetura e Urbanismo (FAU);Arquitetura e Urbanismo;5º ano ou mais;0;Designer;Sim;29, 141, 543, 548;42;
24/07/2016 21:17:09;504;S;M;Escola Politécnica (Poli);Engenharia da Computação;5º ano ou mais;0;Desenvolvedor;Não;;0;
24/07/2016 21:17:12;484;S;F;Escola de Comunicações e Artes (ECA);Publicidade e Propaganda;4º ano;0;Designer;Não;36, 185, 282, 484;50;
24/07/2016 21:17:49;277;N;M;Escola Politécnica (Poli);Engenharia da Computação;5º ano ou mais;0;Desenvolvedor;Sim;102, 277, 427;3;
24/07/2016 21:17:50;229;N;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;4º ano;1;Desenvolvedor;Não;;0;
24/07/2016 21:19:21;165;N;M;Não USP;;;0;Designer;Não;;0;FIT - Faculdade Impacta de Tecnologia
24/07/2016 21:19:58;502;N;M;Escola Politécnica (Poli);Engenharia Elétrica;1º ano;0;Engenharia;Não;;0;
24/07/2016 21:20:41;169;N;M;Não USP;;;0;Desenvolvedor;Não;;0;UNIMEP
24/07/2016 21:21:03;451;N;M;Escola Politécnica (Poli);Engenharia Química;5º ano ou mais;0;Desenvolvedor;Sim;;0;
24/07/2016 21:21:09;499;N;F;Não USP;;;0;Desenvolvedor;Não;;0;Unib
24/07/2016 21:21:18;164;N;M;Não USP;;;0;Desenvolvedor;Não;;0;UNICAMP
24/07/2016 21:21:23;70;N;M;Escola de Engenharia de São Carlos (EESC);Engenharia da Computação;4º ano;2;Desenvolvedor;Não;70, 433, 496;60;
24/07/2016 21:21:36;361;N;M;Não USP;;;1;Desenvolvedor;Não;;0;UFSCar
24/07/2016 21:21:48;158;N;M;Não USP;;;0;Desenvolvedor;Não;;0;UFABC
24/07/2016 21:22:03;424;N;M;Não USP;;;0;Empreendedor/Negócios;Não;;0;Universidade Presbiteriana Mackenzie
24/07/2016 21:22:06;352;N;M;Escola Politécnica (Poli);Engenharia da Computação;4º ano;1;Desenvolvedor;Sim;104, 218, 317, 352;4;
24/07/2016 21:22:53;138;N;M;Escola Politécnica (Poli);Engenharia Elétrica;3º ano;1;Desenvolvedor;Sim;138, 151, 175;13;
24/07/2016 21:23:19;94;N;M;Não USP;;;1;Desenvolvedor;Não;;0;Uninove
24/07/2016 21:23:50;19;N;M;Instituto de Matemática e Estatística (IME);Matemática (Licenciatura);3º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:24:06;433;N;M;Escola Politécnica (Poli);Engenharia e Gestão de Novos Produtos e Serviços ;1º ano;1;Designer;Sim;70, 433, 496;60;
24/07/2016 21:24:43;48;S;F;Faculdade de Arquitetura e Urbanismo (FAU);Arquitetura e Urbanismo;5º ano ou mais;0;Designer;Sim;26, 48, 343, 422;37;
24/07/2016 21:25:30;383;N;M;Escola de Engenharia de São Carlos (EESC);Engenharia de Materiais;5º ano ou mais;0;Empreendedor/Negócios;Não;;0;
24/07/2016 21:25:33;430;N;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;2;Desenvolvedor;Sim;344, 430;48;
24/07/2016 21:25:52;271;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1º ano;0;Desenvolvedor;Não;24, 248, 257, 271, 327, 389;34;
24/07/2016 21:26:05;213;N;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;213, 381, 505, 524;29;
24/07/2016 21:26:46;95;N;M;Não USP;;;5;Desenvolvedor;Não;;0;
24/07/2016 21:26:46;322;N;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Não;;0;
24/07/2016 21:27:39;520;N;M;Escola Politécnica (Poli);Engenharia Elétrica;4º ano;0;Desenvolvedor;Não;;0;
