Edição;Carimbo de data/hora;ID;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Time;Selecionado
2017.2;18/10/2017 21:07:32;55;M;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto (FEA-RP);Bacharelado em Administração;5° ano ou mais;1;Negócios;Sim;25;S
2017.2;18/10/2017 23:20:17;117;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1° ano;0;Negócios;Não;0;N
2016.1;24/07/2016 21:04:42;7;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;0;S
2016.1;24/07/2016 21:07:42;21;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;1;Desenvolvedor;Sim;25;N
2016.1;24/07/2016 21:03:50;25;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;0;S
2016.1;27/07/2016 22:39:14;31;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Sim;0;N
2016.1;25/07/2016 08:37:10;34;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;0;N
2016.1;27/07/2016 16:26:04;38;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;2;Desenvolvedor;Não;0;N
2016.1;26/07/2016 11:40:43;42;?;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;24/07/2016 21:15:32;43;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Não;0;N
2016.1;09/08/2016 19:55:46;46;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;54;S
2016.1;24/07/2016 21:03:11;51;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;1;Desenvolvedor;Sim;56;S
2016.1;09/08/2016 22:57:08;56;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;54;S
2016.1;25/07/2016 11:34:02;63;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;2;Desenvolvedor;Sim;0;N
2016.1;26/07/2016 20:23:27;80;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;0;N
2016.1;24/07/2016 21:04:54;96;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;5;Desenvolvedor;Não;0;S
2016.1;25/07/2016 00:58:12;114;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;0;N
2016.1;24/07/2016 21:11:48;121;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;5;Desenvolvedor;Não;0;N
2016.1;26/07/2016 14:00:35;128;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;61;N
2016.1;24/07/2016 21:04:55;135;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;11;S
2016.1;26/08/2016 14:30:31;136;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Não;0;N
2016.1;26/07/2016 21:43:47;153;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;0;Desenvolvedor;Não;0;N
2016.1;24/07/2016 21:03:29;159;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;1;Desenvolvedor;Sim;18;S
2016.1;24/07/2016 21:05:18;194;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;1;Desenvolvedor;Não;0;S
2016.1;25/07/2016 13:49:47;199;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;0;S
2016.1;25/07/2016 01:30:39;205;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;62;N
2016.1;25/07/2016 18:57:49;211;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;0;Desenvolvedor;Sim;27;S
2016.1;24/07/2016 21:26:05;213;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;29;N
2016.1;24/07/2016 21:05:33;217;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;0;N
2016.1;24/07/2016 20:53:04;227;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Desenvolvedor;Sim;31;S
2016.1;24/07/2016 21:17:50;229;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;4º ano;1;Desenvolvedor;Não;0;N
2016.1;25/07/2016 14:32:56;244;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;5;Desenvolvedor;Sim;35;S
2016.1;24/07/2016 22:17:00;247;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;0;S
2016.1;24/07/2016 21:04:53;251;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;1;Desenvolvedor;Não;35;S
2016.1;26/07/2016 00:11:36;300;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Sim;0;N
2016.1;24/07/2016 21:05:25;303;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Desenvolvedor;Sim;31;S
2016.1;09/08/2016 20:24:09;309;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Nenhuma;Não;54;S
2016.1;24/07/2016 21:26:46;322;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Não;0;N
2016.1;24/07/2016 21:06:58;332;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Desenvolvedor;Sim;47;S
2016.1;25/07/2016 15:12:45;334;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;0;Desenvolvedor;Não;0;N
2016.1;27/07/2016 15:52:46;339;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Designer;Sim;31;S
2016.1;24/07/2016 21:01:17;342;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;5;Desenvolvedor;Sim;47;S
2016.1;27/07/2016 23:04:36;346;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;2;Desenvolvedor;Sim;49;N
2016.1;24/07/2016 21:04:10;355;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;0;S
2016.1;24/07/2016 22:33:13;356;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;1;Desenvolvedor;Não;0;N
2016.1;26/07/2016 23:26:33;365;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;0;Desenvolvedor;Não;0;N
2016.1;26/07/2016 12:57:41;381;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;29;N
2016.1;24/07/2016 21:03:19;402;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;1;Desenvolvedor;Sim;31;S
2016.1;24/07/2016 21:05:56;408;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;2;Empreendedor/Negócios;Não;0;S
2016.1;24/07/2016 21:09:23;421;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;0;Desenvolvedor;Não;0;N
2016.1;24/07/2016 21:25:33;430;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;2;Desenvolvedor;Sim;48;N
2016.1;24/07/2016 21:08:16;497;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;1;Desenvolvedor;Não;0;N
2016.1;24/07/2016 23:59:01;503;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;2;Desenvolvedor;Não;35;S
2016.1;24/07/2016 21:02:41;511;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;2;Desenvolvedor;Não;47;S
2016.1;24/07/2016 21:01:25;513;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;1;Desenvolvedor;Sim;47;S
2016.1;25/07/2016 00:00:37;518;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;2;Desenvolvedor;Sim;44;N
2016.1;26/07/2016 20:12:26;519;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;56;S
2016.1;25/07/2016 18:58:44;521;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2º ano;0;Desenvolvedor;Sim;27;S
2016.1;25/07/2016 12:09:54;524;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;29;N
2016.1;24/07/2016 21:04:57;536;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;0;S
2016.1;24/07/2016 21:04:47;540;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;0;S
2016.2;12/10/2016 21:37:56;5;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Não;0;S
2016.2;12/10/2016 21:05:52;8;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;14;S
2016.2;12/10/2016 21:06:00;9;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;1;Desenvolvedor;Sim;15;S
