Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time
2017/07/20 11:10:23 AM GMT-3;88;S;F;Escola de Artes, Ciências e Humanidades (EACH);Licenciatura em Ciências da Natureza;3° ano;0;Desenvolvedor;Sim;5, 88;21
2017/07/20 11:42:15 AM GMT-3;73;N;M;Escola Politécnica (Poli);Engenharia de Computação;2° ano;0;Desenvolvedor;Não;34, 73;14
2017/07/20 11:56:26 AM GMT-3;109;N;M;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;2;Desenvolvedor;Sim;;0
2017/07/20 12:51:56 PM GMT-3;61;N;F;Escola Politécnica (Poli);Engenharia Mecatrônica;2° ano;0;Desenvolvedor;Sim;;0
2017/07/20 2:10:32 PM GMT-3;34;N;M;Escola Politécnica (Poli);Engenharia de Computação;4° ano;0;Desenvolvedor;Sim;34, 73;14
2017/07/20 5:31:51 AM GMT-3;53;N;?;Escola Politécnica (Poli);Engenharia de Computação;2° ano;0;Desenvolvedor;Não;;0
2017/07/20 6:27:39 PM GMT-3;83;N;?;Instituto de Física (IF);Bacharelado em Física;3° ano;0;Desenvolvedor;Sim;83, 115;23
2017/07/20 6:27:51 PM GMT-3;115;N;M;Instituto de Física (IF);Bacharelado em Física;1° ano;0;Desenvolvedor;Sim;83, 115;23
2017/07/20 8:33:48 AM GMT-3;121;S;M;Escola Politécnica (Poli);Engenharia de Computação;4° ano;1;Desenvolvedor;Sim;37, 38, 69, 121;15
2017/07/20 8:51:18 AM GMT-3;89;N;F;Não USP;Análise e Desenvolvimento de Sistemas;2° ano;1;Desenvolvedor;Não;;0
2017/07/20 8:56:25 PM GMT-3;25;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em CIência da Computação;1° ano;0;Nenhuma;Não;;0
2017/07/20 8:59:10 AM GMT-3;69;S;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;37, 38, 69, 121;15
2017/07/20 9:05:34 PM GMT-3;96;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Sim;11, 96, 119;3
2017/07/20 9:08:10 PM GMT-3;119;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;11, 96, 119;3
2017/07/20 9:08:15 PM GMT-3;11;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Sim;11, 96, 119;3
2017/07/20 9:11:30 PM GMT-3;59;N;M;Curso de Ciências Moleculares (CCM);Curso de Ciências Moleculares;3° ano;0;Estudante;Sim;;0
2017/07/20 9:47:24 AM GMT-3;51;N;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;0;Desenvolvedor;Não;;0
2017/07/20 9:54:37 AM GMT-3;2;N;M;Escola de Artes, Ciências e Humanidades (EACH);Especialização;Pós-graduação;0;Desenvolvedor;Não;;0
2017/07/21 11:09:51 AM GMT-3;48;N;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;4° ano;0;Negócios;Sim;48, 102;19
